Date,Open,High,Low,Close,Adj Close,Volume
2014-04-21,100.029999,100.949997,99.860001,100.410004,84.007965,44349500
2014-04-28,100.720001,102.910004,100.309998,102.010002,85.346619,59101900
2014-05-05,101.690002,103.449997,101.260002,101.949997,85.296402,46162700
2014-05-12,102.330002,102.709999,100.320000,100.739998,84.856308,47386400
2014-05-19,100.419998,102.220001,100.419998,101.320000,85.344849,30448600
2014-05-26,101.610001,102.070000,100.370003,100.529999,84.679398,33559100
2014-06-02,100.529999,101.629997,99.589996,101.599998,85.580704,45931300
2014-06-09,101.449997,102.949997,101.000000,102.650002,86.465157,44253900
2014-06-16,102.570000,104.059998,101.449997,103.830002,87.459114,56688100
2014-06-23,104.110001,104.610001,100.660004,101.209999,85.252213,52548500
2014-06-30,101.209999,103.269997,100.519997,102.589996,86.414604,31731400
2014-07-07,102.330002,103.690002,101.320000,101.739998,85.698624,41463000
2014-07-14,102.169998,103.889999,101.739998,102.730003,86.532539,42233100
2014-07-21,102.360001,104.720001,102.059998,103.180000,86.911583,36784400
2014-07-28,103.290001,104.760002,98.180000,98.800003,83.222183,61532100
2014-08-04,98.739998,100.430000,97.629997,99.739998,84.013977,56345300
2014-08-11,99.279999,99.430000,97.820000,99.029999,83.415901,41593300
2014-08-18,99.279999,100.070000,98.080002,98.500000,83.547462,37696500
2014-08-25,98.809998,100.309998,98.500000,99.459999,84.361740,36901400
2014-09-01,99.430000,99.589996,97.809998,99.260002,84.192108,36572000
2014-09-08,98.919998,98.919998,95.629997,95.779999,81.240364,52388800
2014-09-15,95.730003,98.050003,95.400002,97.120003,82.376945,57852400
2014-09-22,96.900002,97.160004,93.800003,95.430000,80.943474,55428600
2014-09-29,94.709999,94.809998,92.059998,93.919998,79.662712,68939600
2014-10-06,94.010002,95.330002,90.900002,91.599998,77.694901,73055700
2014-10-13,91.320000,92.529999,86.910004,91.209999,77.364105,105676900
2014-10-20,90.629997,94.980003,90.629997,94.489998,80.146194,60391500
2014-10-27,93.849998,96.889999,92.769997,96.709999,82.029205,63622500
2014-11-03,96.559998,97.160004,93.889999,96.589996,81.927414,67353400
2014-11-10,96.870003,97.099998,93.830002,95.089996,81.237411,50378300
2014-11-17,94.849998,97.199997,94.129997,96.809998,82.706863,47098100
2014-11-24,96.339996,96.800003,90.110001,90.540001,77.350266,53298600
2014-12-01,90.360001,95.330002,90.279999,93.820000,80.152435,89390400
2014-12-08,92.900002,93.129997,86.599998,86.599998,73.984238,99989600
2014-12-15,87.529999,93.639999,86.190002,93.639999,79.998680,132420700
2014-12-22,92.959999,95.180000,92.449997,93.209999,79.631294,49039000
2014-12-29,93.330002,93.860001,91.809998,92.830002,79.306664,40193100
2015-01-05,92.099998,92.779999,89.019997,92.099998,78.683006,78739700
2015-01-12,91.239998,91.430000,87.260002,91.120003,77.845772,92294600
2015-01-19,91.139999,92.970001,90.379997,90.889999,77.649269,59302700
2015-01-26,90.610001,91.940002,86.029999,87.419998,74.684784,86166600
2015-02-02,87.849998,92.540001,87.500000,91.500000,78.170403,86979600
2015-02-09,91.400002,93.449997,89.790001,93.370003,80.368431,63458200
2015-02-16,92.750000,93.070000,88.580002,89.919998,77.398811,66247100
2015-02-23,89.260002,89.779999,88.080002,88.540001,76.210976,59762800
2015-03-02,88.339996,88.519997,85.320000,85.629997,73.706177,69353200
2015-03-09,86.120003,86.379997,82.680000,83.870003,72.191254,72296800
2015-03-16,83.709999,86.370003,83.269997,84.540001,72.767990,94063600
2015-03-23,85.019997,85.779999,83.330002,83.580002,71.941650,65539700
2015-03-30,84.269997,86.000000,83.849998,84.300003,72.561386,54826900
2015-04-06,85.150002,86.169998,83.809998,85.559998,73.645943,65663800
2015-04-13,85.919998,88.529999,85.239998,86.930000,74.825172,64908000
2015-04-20,87.129997,88.379997,86.339996,86.970001,74.859596,48629500
2015-04-27,87.410004,88.949997,86.760002,88.849998,76.477814,58907300
2015-05-04,89.419998,90.089996,86.919998,88.989998,76.598320,54895000
2015-05-11,88.529999,88.570000,86.400002,87.349998,75.186668,47629600
2015-05-18,87.309998,87.459999,86.209999,86.519997,75.088219,39404900
2015-05-25,86.040001,86.370003,84.769997,85.199997,73.942627,44737500
2015-06-01,85.250000,85.839996,83.779999,84.279999,73.144196,50571700
2015-06-08,84.180000,85.970001,83.860001,84.019997,72.918533,46603800
2015-06-15,83.529999,85.959999,83.190002,85.209999,73.951302,54131600
2015-06-22,85.389999,85.599998,83.489998,83.860001,72.779678,60771800
2015-06-29,83.050003,84.900002,82.110001,83.139999,72.154816,49437400
2015-07-06,82.419998,83.230003,81.489998,82.220001,71.356377,57507200
2015-07-13,82.110001,83.480003,81.790001,82.610001,71.694832,47049700
2015-07-20,82.150002,82.470001,79.720001,79.940002,69.377632,60200300
2015-07-27,79.230003,83.320000,78.930000,79.209999,68.744080,86059800
2015-08-03,78.699997,78.930000,76.620003,76.830002,66.678558,76379300
2015-08-10,77.089996,79.290001,76.330002,78.360001,68.006393,68138200
2015-08-17,77.930000,79.180000,72.070000,72.129997,63.185276,79323800
2015-08-24,67.989998,75.980003,66.550003,75.070000,65.760674,143945200
2015-08-31,74.279999,75.550003,71.510002,72.459999,63.474358,88954300
2015-09-07,73.720001,74.680000,71.800003,72.690002,63.675823,55399300
2015-09-14,72.309998,75.470001,71.760002,72.680000,63.667053,76715700
2015-09-21,73.099998,73.610001,71.720001,73.230003,64.148857,68642500
2015-09-28,72.620003,75.900002,72.139999,75.879997,66.470230,79711900
2015-10-05,76.650002,80.169998,75.790001,79.260002,69.431084,87640300
2015-10-12,79.589996,82.500000,78.489998,82.480003,72.251785,64689700
2015-10-19,82.010002,83.000000,80.110001,82.980003,72.689781,64782300
2015-10-26,82.519997,83.879997,79.730003,82.739998,72.479530,67728600
2015-11-02,82.300003,87.440002,82.089996,84.470001,73.994995,80410600
2015-11-09,83.559998,83.599998,77.940002,78.099998,68.414925,70965100
2015-11-16,77.940002,80.989998,77.910004,79.790001,70.504684,55042100
2015-11-23,79.599998,82.349998,79.059998,81.230003,71.777100,40060900
2015-11-30,81.419998,82.650002,77.029999,78.860001,69.682907,82972900
2015-12-07,77.330002,77.500000,73.790001,74.339996,65.688904,104480000
2015-12-14,74.300003,79.610001,74.089996,77.279999,68.286774,109776100
2015-12-21,77.790001,80.269997,76.650002,79.330002,70.098198,49348800
2015-12-28,78.120003,80.080002,77.430000,77.949997,68.878807,38105100
2016-01-04,77.500000,78.139999,74.500000,74.690002,65.998177,91517900
2016-01-11,75.010002,79.919998,72.559998,77.580002,68.551857,131061800
2016-01-18,77.930000,78.239998,71.550003,76.570000,67.659386,100781200
2016-01-25,75.750000,77.849998,73.900002,77.849998,68.790436,95237000
2016-02-01,76.660004,80.099998,73.550003,80.080002,70.760925,114410700
2016-02-08,79.300003,81.779999,77.580002,81.029999,71.600365,97729000
2016-02-15,81.699997,83.059998,80.279999,82.500000,73.560959,61408500
2016-02-22,82.500000,83.440002,79.669998,81.750000,72.892220,67464000
2016-02-29,81.879997,82.970001,80.050003,82.290001,73.373711,80347500
2016-03-07,82.309998,84.459999,80.930000,82.190002,73.284554,78357300
2016-03-14,81.480003,84.680000,81.019997,84.199997,75.076759,67360600
2016-03-21,83.839996,84.860001,82.930000,83.980003,74.880608,43507700
2016-03-28,84.029999,85.099998,82.389999,82.959999,73.971123,54407500
2016-04-04,83.059998,83.900002,81.989998,83.209999,74.194031,45460500
2016-04-11,83.330002,85.900002,83.279999,84.970001,75.763344,51052800
2016-04-18,84.970001,87.839996,83.860001,87.529999,78.045959,55860600
2016-04-25,87.089996,89.779999,86.349998,88.400002,78.821693,57127900
2016-05-02,88.239998,89.480003,87.360001,88.510002,78.919769,47504500
2016-05-09,88.599998,90.000000,87.230003,88.660004,79.053513,55770400
2016-05-16,89.199997,90.400002,88.449997,89.739998,80.688980,55744400
2016-05-23,89.000000,90.459999,88.820000,90.010002,80.931747,46747100
2016-05-30,90.000000,90.199997,87.610001,88.370003,79.457161,40319400
2016-06-06,88.870003,91.300003,88.690002,89.980003,80.904762,50773200
2016-06-13,89.919998,91.589996,89.110001,90.720001,81.570137,62494800
2016-06-20,91.290001,92.070000,89.150002,89.389999,80.374283,56206400
2016-06-27,88.900002,93.980003,88.110001,93.839996,84.375458,65364300
2016-07-04,93.120003,94.489998,92.250000,93.540001,84.105705,45936800
2016-07-11,93.750000,95.550003,93.650002,95.120003,85.526344,47292700
2016-07-18,94.919998,95.150002,93.459999,94.010002,84.528313,37145800
2016-07-25,93.470001,93.620003,86.120003,88.949997,79.978645,69394600
2016-08-01,88.080002,88.150002,85.580002,87.559998,78.728844,79529200
2016-08-08,88.050003,88.889999,86.010002,87.849998,78.989601,54465000
2016-08-15,88.419998,88.940002,87.370003,87.800003,79.617844,39313100
2016-08-22,87.309998,88.160004,86.849998,87.269997,79.137245,36145300
2016-08-29,87.040001,88.250000,86.089996,87.419998,79.273239,41494000
2016-09-05,87.839996,89.370003,86.800003,86.839996,78.747307,39721300
2016-09-12,86.779999,87.709999,83.559998,84.029999,76.199158,68661300
2016-09-19,84.580002,84.620003,82.309998,83.449997,75.673218,63912600
2016-09-26,83.519997,87.809998,82.290001,87.279999,79.146294,83617600
2016-10-03,86.940002,87.500000,86.070000,86.739998,78.656624,38462600
2016-10-10,87.540001,88.669998,85.430000,86.540001,78.475266,45423600
2016-10-17,86.480003,87.849998,85.699997,86.620003,78.547813,39668900
2016-10-24,86.739998,87.660004,84.139999,84.779999,76.879288,51822200
2016-10-31,83.879997,84.400002,82.760002,83.570000,75.782043,63654100
2016-11-07,84.489998,87.989998,83.660004,85.669998,77.686333,67002700
2016-11-14,85.300003,87.059998,84.330002,85.279999,78.017441,50350500
2016-11-21,86.440002,87.239998,85.970001,87.120003,79.700768,29290300
2016-11-28,86.949997,88.500000,85.080002,87.040001,79.627571,62039100
2016-12-05,87.389999,89.000000,86.699997,89.000000,81.420647,51325700
2016-12-12,90.139999,93.220001,89.760002,91.180000,83.415001,82415600
2016-12-19,91.379997,91.540001,90.019997,90.709999,82.985016,36473000
2016-12-26,90.830002,91.110001,90.010002,90.260002,82.573349,27509000
2017-01-02,90.940002,91.339996,87.820000,88.500000,80.963234,50756100
2017-01-09,88.220001,88.220001,85.860001,86.349998,78.996330,57051700
2017-01-16,86.580002,87.410004,84.589996,85.889999,78.575516,60191600
2017-01-23,85.680000,85.879997,84.750000,85.510002,78.227867,52597800
2017-01-30,85.419998,85.449997,82.540001,83.540001,76.425644,71975500
2017-02-06,83.550003,83.650002,81.169998,82.519997,75.492493,53992500
2017-02-13,82.769997,83.419998,81.440002,81.760002,75.481171,58471600
2017-02-20,82.120003,82.220001,80.760002,81.080002,74.853401,54522700
2017-02-27,81.129997,84.250000,80.809998,82.459999,76.127419,74142900
2017-03-06,82.440002,83.290001,80.309998,81.610001,75.342697,65223400
2017-03-13,81.500000,82.260002,80.440002,82.000000,75.702751,61635300
2017-03-20,81.720001,82.349998,81.150002,81.230003,74.991882,50312900
2017-03-27,80.820000,83.870003,80.790001,82.010002,75.711990,94460600
2017-04-03,82.019997,83.550003,81.330002,82.760002,76.404381,52983200
2017-04-10,83.120003,83.470001,81.570000,81.690002,75.416550,35645800
2017-04-17,81.849998,81.970001,80.300003,80.690002,74.493355,50628800
2017-04-24,81.279999,82.489998,80.809998,81.650002,75.379631,53366900
2017-05-01,81.510002,83.070000,81.400002,82.019997,75.721214,54433500
2017-05-08,82.000000,83.000000,81.650002,82.550003,76.210503,43792000
2017-05-15,83.000000,83.230003,81.419998,81.930000,76.352394,54541100
2017-05-22,82.110001,82.889999,80.830002,81.550003,75.998253,44809900
2017-05-29,81.279999,81.339996,79.260002,79.500000,74.087822,54117300
2017-06-05,79.440002,82.139999,79.400002,82.129997,76.538773,62106800
2017-06-12,82.129997,83.690002,81.559998,83.489998,77.806190,95651100
2017-06-19,83.489998,83.489998,80.760002,81.610001,76.054184,53851700
2017-06-26,81.570000,81.839996,80.410004,80.730003,75.234093,60655700
2017-07-03,80.790001,82.489998,79.809998,80.220001,74.758797,38853300
2017-07-10,80.000000,81.519997,79.959999,81.279999,75.746635,37072900
2017-07-17,81.000000,81.489998,80.000000,80.120003,74.665611,47303600
2017-07-24,80.059998,81.050003,78.269997,79.599998,74.181000,65283900
2017-07-31,79.830002,80.820000,79.599998,80.209999,74.749481,52080400
2017-08-07,80.169998,80.349998,78.199997,78.209999,72.885635,47782000
2017-08-14,78.620003,78.790001,76.050003,76.639999,72.114807,56055200
2017-08-21,76.470001,77.330002,76.080002,76.720001,72.190086,42166000
2017-08-28,76.900002,76.940002,76.050003,76.570000,72.048935,46510900
2017-09-04,76.639999,79.330002,76.610001,78.820000,74.166092,49631600
2017-09-11,79.410004,80.230003,78.900002,80.070000,75.342285,54086200
2017-09-18,79.790001,80.660004,79.669998,79.919998,75.201141,50668400
2017-09-25,80.029999,82.449997,79.980003,81.980003,77.139511,54501900
2017-10-02,81.300003,82.239998,81.250000,81.709999,76.885452,32663500
2017-10-09,81.839996,83.080002,81.760002,82.410004,77.544113,35559600
2017-10-16,82.699997,83.389999,82.330002,83.110001,78.202797,36064800
2017-10-23,83.150002,84.239998,82.010002,83.709999,78.767357,50555100
2017-10-30,83.709999,83.949997,82.910004,83.180000,78.268654,41674300
2017-11-06,83.300003,84.139999,82.419998,82.940002,78.042824,45365000
2017-11-13,82.650002,83.089996,80.150002,80.239998,76.201004,45699300
2017-11-20,80.230003,81.699997,80.010002,81.419998,77.321609,29099900
2017-11-27,81.320000,84.129997,81.019997,83.459999,79.258919,61019100
2017-12-04,83.209999,84.180000,82.169998,82.660004,78.499191,58702000
2017-12-11,83.040001,83.379997,82.480003,83.029999,78.850571,66315100
2017-12-18,83.180000,84.269997,82.330002,83.970001,79.743248,53912900
2017-12-25,83.959999,84.360001,83.639999,83.639999,79.429863,27736600
2018-01-01,83.820000,87.220001,83.660004,86.750000,82.383316,47337600
2018-01-08,86.699997,87.989998,85.930000,87.519997,83.114563,54051900
2018-01-15,87.739998,88.209999,86.599998,87.150002,82.763176,43742500
2018-01-22,87.169998,89.000000,87.050003,89.000000,84.520050,52654600
2018-01-29,88.589996,89.300003,83.000000,84.529999,80.275063,83921500
2018-02-05,83.279999,83.989998,73.900002,75.779999,71.965500,143852400
2018-02-12,77.050003,77.620003,75.169998,76.540001,73.430534,76610200
2018-02-19,76.470001,77.620003,74.870003,77.529999,74.380318,52501300
2018-02-26,77.739998,79.870003,74.480003,75.550003,72.480751,79984700
2018-03-05,75.230003,76.980003,73.559998,74.559998,71.530968,91914700
2018-03-12,74.870003,75.820000,73.529999,75.120003,72.068214,90537400
2018-03-19,75.000000,75.639999,72.669998,72.889999,69.928810,78456100
2018-03-26,73.650002,74.889999,72.750000,74.610001,71.578934,63901400
2018-04-02,74.269997,76.320000,72.160004,74.870003,71.828377,75512100
2018-04-09,75.220001,78.190002,74.800003,77.839996,74.677711,68038600
2018-04-16,78.120003,79.820000,77.709999,79.000000,75.790588,55509400
2018-04-23,78.919998,80.900002,76.480003,77.790001,74.629753,70600500
2018-04-30,77.910004,78.559998,75.400002,76.900002,73.775902,67273800
2018-05-07,77.739998,81.970001,76.370003,81.279999,77.977966,82105300
2018-05-14,81.699997,82.320000,81.169998,81.300003,78.787735,55272800
2018-05-21,81.730003,82.650002,78.089996,78.709999,76.277763,62639200
2018-05-28,78.150002,82.349998,77.529999,81.830002,79.301361,56981500
2018-06-04,82.050003,83.660004,80.410004,83.599998,81.016655,62470200
2018-06-11,83.720001,83.790001,80.510002,80.660004,78.167511,70507500
2018-06-18,80.400002,81.940002,79.330002,81.379997,78.865257,53872900
2018-06-25,80.779999,83.540001,79.300003,82.730003,80.173546,60379800
2018-07-02,81.889999,83.449997,81.320000,82.330002,79.785912,33868400
2018-07-09,82.809998,84.120003,82.029999,83.309998,80.735619,44852300
2018-07-16,82.519997,82.790001,81.250000,81.400002,78.884644,42247500
2018-07-23,81.949997,84.400002,80.809998,81.919998,79.388573,60501400
2018-07-30,82.129997,82.150002,79.449997,80.199997,77.721718,48111300
2018-08-06,80.250000,81.589996,78.860001,79.419998,76.965820,50796000
2018-08-13,79.449997,79.750000,76.510002,78.260002,76.623940,56320500
2018-08-20,78.260002,80.050003,78.169998,79.620003,77.955505,41191600
2018-08-27,79.910004,81.040001,79.769997,80.169998,78.494003,41651000
2018-09-03,80.410004,81.930000,79.599998,81.830002,80.119308,52471800
2018-09-10,82.239998,83.779999,81.629997,82.919998,81.186516,54871400
2018-09-17,83.000000,85.430000,82.989998,85.169998,83.389481,65874400
2018-09-24,85.790001,87.360001,84.989998,85.019997,83.242615,53806000
2018-10-01,85.349998,86.889999,84.930000,85.339996,83.555916,46648700
2018-10-08,84.790001,86.879997,80.269997,81.379997,79.678703,75530100
2018-10-15,81.379997,82.470001,80.010002,81.970001,80.256378,62135600
2018-10-22,82.000000,82.180000,76.959999,77.529999,75.909195,71500500
2018-10-29,78.070000,82.449997,76.220001,81.949997,80.236794,83604000
2018-11-05,82.500000,83.750000,79.690002,80.870003,79.179375,69513600
2018-11-12,81.660004,81.730003,75.910004,78.959999,78.093002,78669800
2018-11-19,78.459999,79.360001,74.699997,75.489998,74.661102,45525200
2018-11-26,76.239998,79.599998,76.120003,79.500000,78.627075,59863000
2018-12-03,80.239998,81.949997,76.919998,77.639999,76.787498,77398600
2018-12-10,77.860001,78.199997,74.800003,75.580002,74.750122,74667400
2018-12-17,75.260002,75.599998,67.669998,68.120003,67.372032,131835900
2018-12-24,66.870003,69.580002,64.650002,68.169998,67.421478,80938100
2018-12-31,68.320000,71.269997,67.260002,71.150002,70.368759,62389800
2019-01-07,71.250000,72.599998,70.739998,71.720001,70.932503,58697900
2019-01-14,71.209999,73.290001,70.900002,72.989998,72.188553,59807200
2019-01-21,72.389999,72.709999,70.639999,71.720001,70.932503,48491500
2019-01-28,71.019997,76.489998,70.370003,75.919998,75.086380,78561700
2019-02-04,75.760002,75.769997,72.730003,73.980003,73.167686,65515800
2019-02-11,73.879997,77.760002,73.400002,77.709999,77.709999,63351800
2019-02-18,77.559998,78.949997,77.449997,78.419998,78.419998,45969900
2019-02-25,78.430000,80.000000,78.199997,80.000000,80.000000,62680500
2019-03-04,80.239998,80.550003,77.860001,79.010002,79.010002,83153000
2019-03-11,79.980003,80.910004,79.650002,80.150002,80.150002,67934200
2019-03-18,80.440002,82.000000,80.300003,80.480003,80.480003,59525400
2019-03-25,80.000000,81.480003,79.589996,80.800003,80.800003,46353400
2019-04-01,81.230003,82.529999,80.610001,82.489998,82.489998,46445000
2019-04-08,82.669998,83.199997,80.580002,80.919998,80.919998,53747900
2019-04-15,80.889999,81.830002,80.519997,81.129997,81.129997,33347100
2019-04-18,81.559998,81.830002,81.070000,81.129997,81.129997,8943157
