Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,null,null,null,null,null,null
2018-04-23,3.520000,3.560000,3.390000,3.480000,3.480000,32403300
2018-04-30,3.480000,3.850000,3.400000,3.760000,3.760000,76768600
2018-05-07,3.790000,3.980000,3.720000,3.960000,3.960000,73023800
2018-05-14,3.960000,4.210000,3.880000,4.180000,4.180000,99222300
2018-05-21,4.180000,4.220000,4.060000,4.170000,4.170000,41110600
2018-05-28,4.160000,4.560000,4.130000,4.470000,4.470000,81386800
2018-06-04,4.500000,4.570000,4.330000,4.380000,4.380000,62890800
2018-06-11,4.380000,4.480000,4.250000,4.330000,4.330000,65188100
2018-06-18,4.300000,4.320000,4.070000,4.200000,4.200000,44222100
2018-06-25,4.180000,4.200000,3.920000,4.070000,4.070000,61282300
2018-07-02,4.030000,4.250000,4.020000,4.220000,4.220000,20368300
2018-07-09,4.250000,4.430000,4.140000,4.340000,4.340000,31304500
2018-07-16,4.330000,4.370000,4.180000,4.250000,4.250000,28507000
2018-07-23,4.240000,4.270000,3.970000,4.050000,4.050000,40197600
2018-07-30,4.040000,4.140000,3.750000,3.990000,3.990000,84010900
2018-08-06,3.980000,4.020000,3.780000,3.820000,3.820000,53644100
2018-08-13,3.820000,3.880000,3.650000,3.720000,3.720000,32998200
2018-08-20,3.740000,4.140000,3.680000,3.940000,3.940000,69017900
2018-08-27,3.940000,4.180000,3.860000,4.160000,4.160000,57832500
2018-09-03,4.170000,4.230000,3.880000,3.940000,3.940000,43944000
2018-09-10,3.980000,4.070000,3.930000,4.020000,4.020000,40295900
2018-09-17,4.060000,4.060000,3.890000,3.920000,3.920000,42727500
2018-09-24,3.900000,4.090000,3.850000,4.010000,4.010000,35409900
2018-10-01,4.060000,4.200000,3.950000,4.020000,4.020000,62792700
2018-10-08,4.000000,4.500000,3.820000,4.200000,4.200000,144337700
2018-10-15,4.250000,4.330000,3.990000,4.000000,4.000000,48741300
2018-10-22,4.000000,4.070000,3.780000,3.830000,3.830000,53901900
2018-10-29,3.890000,3.890000,3.520000,3.760000,3.760000,121237400
2018-11-05,3.750000,3.900000,3.570000,3.610000,3.610000,50944000
2018-11-12,3.600000,3.670000,3.460000,3.600000,3.600000,44492600
2018-11-19,3.570000,3.610000,3.360000,3.480000,3.480000,38722100
2018-11-26,3.510000,3.730000,3.320000,3.620000,3.620000,56817500
2018-12-03,3.670000,3.750000,3.480000,3.600000,3.600000,40776300
2018-12-10,3.600000,3.850000,3.600000,3.710000,3.710000,57431300
2018-12-17,3.700000,3.830000,3.490000,3.630000,3.630000,79274800
2018-12-24,3.610000,3.940000,3.600000,3.890000,3.890000,45565100
2018-12-31,3.900000,4.080000,3.850000,4.020000,4.020000,52029100
2019-01-07,4.010000,4.330000,3.990000,4.310000,4.310000,71972900
2019-01-14,4.280000,4.350000,4.220000,4.260000,4.260000,56134100
2019-01-21,4.260000,4.450000,4.210000,4.380000,4.380000,51539400
2019-01-28,4.410000,4.550000,4.320000,4.500000,4.500000,76561000
2019-02-04,4.550000,4.890000,4.330000,4.880000,4.880000,100074800
2019-02-11,4.940000,5.140000,4.810000,5.030000,5.030000,84727900
2019-02-18,5.000000,5.170000,4.940000,5.030000,5.030000,61591600
2019-02-25,5.070000,5.340000,4.950000,5.340000,5.340000,71981800
2019-03-04,5.400000,5.400000,4.990000,5.120000,5.120000,63652000
2019-03-11,5.170000,5.420000,5.120000,5.370000,5.370000,74518100
2019-03-18,5.380000,5.470000,5.230000,5.290000,5.290000,49571000
2019-03-25,5.280000,5.390000,5.160000,5.330000,5.330000,57467600
2019-04-01,5.340000,5.550000,5.250000,5.350000,5.350000,49116600
2019-04-08,5.330000,5.540000,5.250000,5.520000,5.520000,33119200
2019-04-15,5.520000,5.530000,5.220000,5.440000,5.440000,69875600
2019-04-18,5.330000,5.460000,5.220000,5.440000,5.440000,36298405
