Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,null,null,null,null,null,null
2018-04-23,4.600000,4.900000,4.560000,4.690000,4.690000,33199000
2018-04-30,4.690000,4.780000,4.470000,4.710000,4.710000,29978500
2018-05-07,4.720000,5.480000,4.710000,5.200000,5.200000,71459500
2018-05-14,5.200000,5.240000,4.840000,4.840000,4.840000,37219900
2018-05-21,4.880000,4.890000,4.520000,4.640000,4.640000,38967600
2018-05-28,4.590000,4.940000,4.570000,4.760000,4.760000,28419000
2018-06-04,4.800000,4.870000,4.540000,4.690000,4.690000,47452700
2018-06-11,4.710000,4.710000,4.420000,4.680000,4.680000,42828800
2018-06-18,4.650000,4.780000,4.400000,4.500000,4.500000,50691100
2018-06-25,4.480000,4.480000,4.130000,4.300000,4.300000,40266700
2018-07-02,4.250000,4.430000,4.200000,4.360000,4.360000,23593900
2018-07-09,4.810000,4.960000,4.530000,4.670000,4.670000,105593900
2018-07-16,4.680000,4.770000,4.540000,4.700000,4.700000,27572900
2018-07-23,4.680000,5.520000,4.580000,4.840000,4.840000,79841700
2018-07-30,4.800000,4.970000,4.250000,4.860000,4.860000,81675200
2018-08-06,4.780000,4.810000,4.340000,4.350000,4.350000,65044700
2018-08-13,4.350000,4.750000,4.310000,4.410000,4.410000,44318500
2018-08-20,4.440000,4.700000,4.400000,4.540000,4.540000,27267100
2018-08-27,4.530000,4.560000,4.250000,4.270000,4.270000,31442400
2018-09-03,4.260000,4.280000,3.950000,4.020000,4.020000,27233800
2018-09-10,4.030000,4.050000,3.720000,4.000000,4.000000,44582800
2018-09-17,3.960000,4.030000,3.870000,3.900000,3.900000,35995100
2018-09-24,3.870000,3.890000,3.650000,3.770000,3.770000,32642500
2018-10-01,3.810000,4.000000,3.670000,3.760000,3.760000,30443500
2018-10-08,3.750000,3.840000,3.310000,3.480000,3.480000,48634100
2018-10-15,3.480000,3.650000,3.180000,3.220000,3.220000,38806500
2018-10-22,3.260000,3.330000,3.060000,3.160000,3.160000,27714900
2018-10-29,3.190000,3.440000,3.040000,3.360000,3.360000,29555500
2018-11-05,3.360000,3.520000,2.890000,2.960000,2.960000,70562800
2018-11-12,2.930000,3.120000,2.800000,3.020000,3.020000,40528400
2018-11-19,3.000000,3.040000,2.820000,2.970000,2.970000,22491000
2018-11-26,3.020000,3.210000,2.980000,3.070000,3.070000,24592100
2018-12-03,3.120000,3.200000,2.980000,3.100000,3.100000,31290400
2018-12-10,3.070000,3.330000,3.030000,3.140000,3.140000,50651000
2018-12-17,3.150000,3.150000,2.870000,2.900000,2.900000,50814900
2018-12-24,2.860000,3.220000,2.810000,3.200000,3.200000,23174900
2018-12-31,3.210000,3.510000,3.150000,3.440000,3.440000,22498300
2019-01-07,3.430000,3.610000,3.420000,3.590000,3.590000,22487900
2019-01-14,3.550000,3.870000,3.520000,3.790000,3.790000,21870800
2019-01-21,3.770000,3.830000,3.540000,3.770000,3.770000,33221300
2019-01-28,3.720000,3.810000,3.610000,3.780000,3.780000,25831300
2019-02-04,3.770000,3.800000,3.530000,3.600000,3.600000,31715400
2019-02-11,3.650000,3.980000,3.310000,3.490000,3.490000,71170500
2019-02-18,3.420000,3.590000,3.300000,3.360000,3.360000,26415200
2019-02-25,3.370000,3.440000,3.250000,3.370000,3.370000,32644100
2019-03-04,3.370000,3.480000,3.230000,3.360000,3.360000,27574400
2019-03-11,3.360000,3.570000,3.350000,3.530000,3.530000,20846400
2019-03-18,3.550000,3.570000,3.380000,3.380000,3.380000,19697600
2019-03-25,3.390000,3.560000,3.350000,3.550000,3.550000,20767200
2019-04-01,3.550000,3.610000,3.460000,3.560000,3.560000,14346900
2019-04-08,3.540000,3.610000,3.460000,3.500000,3.500000,13540400
2019-04-15,3.500000,3.570000,3.420000,3.490000,3.490000,12741600
2019-04-18,3.440000,3.500000,3.430000,3.490000,3.490000,1719316
