Date,Open,High,Low,Close,Adj Close,Volume
2014-04-21,7.110000,7.220000,6.770000,6.790000,6.790000,3145800
2014-04-28,6.840000,7.880000,6.560000,7.630000,7.630000,6874400
2014-05-05,7.300000,7.610000,6.120000,6.810000,6.810000,20049900
2014-05-12,7.000000,7.620000,6.850000,6.990000,6.990000,10665500
2014-05-19,7.000000,7.800000,6.930000,7.550000,7.550000,7194400
2014-05-26,7.650000,8.200000,7.460000,7.920000,7.920000,11527300
2014-06-02,7.900000,8.250000,7.810000,8.090000,8.090000,8873600
2014-06-09,8.120000,8.270000,7.690000,7.700000,7.700000,7098200
2014-06-16,7.660000,8.400000,7.620000,8.370000,8.370000,12016800
2014-06-23,8.370000,8.370000,8.030000,8.280000,8.280000,4725600
2014-06-30,8.250000,8.930000,8.150000,8.860000,8.860000,5124400
2014-07-07,8.880000,8.880000,8.070000,8.280000,8.280000,4921200
2014-07-14,8.420000,8.480000,7.970000,8.120000,8.120000,4176500
2014-07-21,8.080000,8.420000,8.050000,8.100000,8.100000,3251100
2014-07-28,8.100000,8.500000,7.850000,8.240000,8.240000,5325000
2014-08-04,8.330000,8.470000,8.110000,8.220000,8.220000,3449200
2014-08-11,8.290000,8.800000,8.200000,8.730000,8.730000,3487700
2014-08-18,8.800000,9.190000,8.750000,9.110000,9.110000,4629400
2014-08-25,9.130000,9.540000,9.060000,9.400000,9.400000,3158900
2014-09-01,9.410000,9.490000,9.050000,9.160000,9.160000,2172500
2014-09-08,9.150000,9.260000,8.850000,9.240000,9.240000,3874300
2014-09-15,9.220000,9.320000,8.700000,9.010000,9.010000,4455700
2014-09-22,9.170000,9.170000,8.700000,8.950000,8.950000,3020500
2014-09-29,8.830000,9.010000,8.440000,8.710000,8.710000,3057200
2014-10-06,8.710000,8.940000,8.280000,8.290000,8.290000,2846400
2014-10-13,8.330000,9.110000,8.150000,8.930000,8.930000,3597600
2014-10-20,8.930000,9.250000,8.670000,8.990000,8.990000,3318500
2014-10-27,8.960000,9.650000,8.890000,9.500000,9.500000,5161000
2014-11-03,9.510000,10.500000,9.510000,9.860000,9.860000,7790000
2014-11-10,9.760000,10.250000,9.700000,10.140000,10.140000,3582700
2014-11-17,10.120000,10.170000,9.120000,9.360000,9.360000,3653000
2014-11-24,9.380000,9.940000,9.320000,9.550000,9.550000,1763100
2014-12-01,9.490000,9.530000,8.940000,9.120000,9.120000,3547000
2014-12-08,9.120000,9.380000,8.900000,9.160000,9.160000,2508000
2014-12-15,9.190000,9.940000,9.020000,9.760000,9.760000,4230300
2014-12-22,9.750000,9.940000,9.630000,9.930000,9.930000,1103600
2014-12-29,9.930000,10.180000,9.550000,9.680000,9.680000,2304700
2015-01-05,9.640000,9.850000,9.100000,9.430000,9.430000,3092000
2015-01-12,9.470000,9.700000,8.240000,8.840000,8.840000,5279700
2015-01-19,8.820000,9.360000,8.810000,9.290000,9.290000,2118000
2015-01-26,9.310000,9.470000,8.490000,8.510000,8.510000,3141300
2015-02-02,8.560000,8.940000,8.420000,8.670000,8.670000,2861300
2015-02-09,8.660000,9.570000,8.540000,9.460000,9.460000,12357400
2015-02-16,9.440000,9.600000,9.270000,9.580000,9.580000,3996700
2015-02-23,9.580000,9.880000,9.450000,9.580000,9.580000,5847200
2015-03-02,9.380000,9.760000,9.230000,9.700000,9.700000,5557300
2015-03-09,9.610000,9.740000,9.190000,9.270000,9.270000,5359700
2015-03-16,9.330000,9.750000,9.260000,9.600000,9.600000,4922100
2015-03-23,9.570000,9.660000,9.280000,9.630000,9.630000,2904500
2015-03-30,9.670000,10.410000,9.540000,10.200000,10.200000,3360300
2015-04-06,10.160000,10.660000,10.150000,10.230000,10.230000,4108000
