Date,Open,High,Low,Close,Adj Close,Volume
2017-02-27,24.000000,29.440001,23.500000,27.090000,27.090000,365215300
2017-03-06,28.170000,28.250000,20.639999,22.070000,22.070000,238720700
2017-03-13,22.049999,22.150000,18.900000,19.540001,19.540001,125507200
2017-03-20,19.940001,23.299999,19.549999,22.740000,22.740000,146325400
2017-03-27,23.090000,24.400000,21.330000,22.530001,22.530001,161945100
2017-04-03,22.700001,22.900000,20.030001,20.820000,20.820000,87448900
2017-04-10,21.090000,21.270000,19.809999,20.190001,20.190001,44903500
2017-04-17,20.090000,21.490000,19.730000,20.930000,20.930000,54177100
2017-04-24,21.200001,22.590000,20.559999,22.549999,22.549999,45415900
2017-05-01,22.660000,23.250000,21.632999,23.190001,23.190001,55008800
2017-05-08,23.170000,23.570000,17.590000,19.139999,19.139999,284366700
2017-05-15,19.570000,20.950001,19.490000,20.000000,20.000000,175067600
2017-05-22,20.139999,21.940001,19.900000,21.219999,21.219999,68751000
2017-05-29,21.299999,21.750000,21.000000,21.090000,21.090000,35758500
2017-06-05,20.520000,20.889999,17.879999,18.080000,18.080000,102268600
2017-06-12,18.049999,18.580000,17.000000,17.540001,17.540001,79454200
2017-06-19,17.850000,18.340000,17.030001,17.540001,17.540001,68492300
2017-06-26,17.700001,18.129999,17.200001,17.770000,17.770000,46236600
2017-07-03,17.910000,17.920000,17.150000,17.180000,17.180000,20066800
2017-07-10,17.160000,17.209999,15.210000,15.270000,15.270000,106275300
2017-07-17,15.300000,15.430000,14.340000,14.480000,14.480000,73741100
2017-07-24,14.450000,14.480000,13.140000,13.810000,13.810000,95430500
2017-07-31,13.420000,13.980000,11.905000,13.520000,13.520000,216503400
2017-08-07,13.860000,14.060000,11.770000,11.830000,11.830000,232476900
2017-08-14,11.490000,14.250000,11.280000,14.010000,14.010000,243987100
2017-08-21,14.270000,15.340000,13.350000,14.780000,14.780000,201931000
2017-08-28,14.800000,15.310000,14.010000,14.270000,14.270000,120364200
2017-09-04,14.280000,15.800000,14.080000,15.340000,15.340000,126600000
2017-09-11,15.250000,15.750000,14.820000,15.250000,15.250000,156544700
2017-09-18,15.320000,15.330000,13.510000,13.700000,13.700000,106780300
2017-09-25,13.500000,14.700000,13.070000,14.540000,14.540000,93352600
2017-10-02,14.600000,15.100000,14.100000,14.790000,14.790000,78757200
2017-10-09,14.810000,16.879999,14.320000,16.500000,16.500000,151573000
2017-10-16,16.680000,16.730000,15.180000,15.560000,15.560000,86389700
2017-10-23,15.580000,15.690000,13.960000,15.440000,15.440000,98816400
2017-10-30,15.130000,16.270000,14.390000,15.270000,15.270000,81705400
2017-11-06,15.190000,15.530000,12.100000,12.760000,12.760000,305170700
2017-11-13,12.830000,13.010000,12.170000,12.990000,12.990000,80588700
2017-11-20,13.100000,13.110000,12.290000,12.970000,12.970000,76481300
2017-11-27,12.870000,14.000000,12.860000,13.870000,13.870000,119336300
2017-12-04,13.950000,15.140000,13.085000,15.070000,15.070000,142791300
2017-12-11,15.435000,16.450001,15.070000,15.750000,15.750000,115731000
