Date,Open,High,Low,Close,Adj Close,Volume
2014-04-21,1.200000,1.210000,1.110000,1.180000,1.180000,341000
2014-04-28,1.180000,1.180000,1.080000,1.110000,1.110000,619300
2014-05-05,1.100000,1.200000,1.090000,1.160000,1.160000,436200
2014-05-12,1.160000,1.240000,1.120000,1.130000,1.130000,281600
2014-05-19,1.110000,1.170000,1.080000,1.090000,1.090000,273600
2014-05-26,1.100000,1.110000,0.940000,0.970000,0.970000,809700
2014-06-02,0.950000,0.950000,0.910000,0.940000,0.940000,723400
2014-06-09,0.950000,0.950000,0.850000,0.890000,0.890000,871300
2014-06-16,0.890000,0.980000,0.890000,0.980000,0.980000,748600
2014-06-23,0.960000,1.170000,0.960000,1.080000,1.080000,952700
2014-06-30,1.080000,1.170000,1.060000,1.110000,1.110000,344200
2014-07-07,1.090000,1.190000,1.030000,1.120000,1.120000,1773800
2014-07-14,1.120000,1.130000,0.980000,1.000000,1.000000,1449700
2014-07-21,1.000000,1.000000,0.950000,0.960000,0.960000,682400
2014-07-28,0.990000,1.050000,0.980000,1.020000,1.020000,565700
2014-08-04,1.020000,1.090000,0.990000,1.020000,1.020000,283700
2014-08-11,1.010000,1.140000,1.010000,1.110000,1.110000,1084500
2014-08-18,1.080000,1.160000,1.070000,1.150000,1.150000,878600
2014-08-25,1.190000,1.250000,1.130000,1.210000,1.210000,1134200
2014-09-01,1.220000,1.230000,1.100000,1.100000,1.100000,576900
2014-09-08,1.110000,1.140000,1.050000,1.060000,1.060000,387700
2014-09-15,1.060000,1.100000,0.980000,0.990000,0.990000,709500
2014-09-22,1.000000,1.020000,0.950000,1.010000,1.010000,301500
2014-09-29,1.000000,1.000000,0.860000,0.920000,0.920000,487300
2014-10-06,0.930000,0.960000,0.850000,0.860000,0.860000,403000
2014-10-13,0.850000,1.060000,0.750000,0.820000,0.820000,948300
2014-10-20,0.840000,0.840000,0.710000,0.720000,0.720000,486200
2014-10-27,0.710000,0.790000,0.710000,0.750000,0.750000,392000
2014-11-03,0.760000,0.770000,0.660000,0.700000,0.700000,383500
2014-11-10,0.700000,0.740000,0.680000,0.690000,0.690000,157000
2014-11-17,0.700000,0.740000,0.680000,0.690000,0.690000,413600
2014-11-24,0.700000,0.700000,0.600000,0.600000,0.600000,588100
2014-12-01,0.620000,0.640000,0.470000,0.500000,0.500000,1177100
2014-12-08,0.480000,0.600000,0.480000,0.570000,0.570000,1477700
2014-12-15,0.550000,0.590000,0.500000,0.570000,0.570000,615500
2014-12-22,0.550000,0.570000,0.510000,0.520000,0.520000,276700
2014-12-29,0.410000,0.560000,0.410000,0.560000,0.560000,570600
2015-01-05,0.560000,0.640000,0.510000,0.620000,0.620000,496000
2015-01-12,0.600000,0.630000,0.540000,0.590000,0.590000,895100
2015-01-19,0.600000,0.600000,0.510000,0.550000,0.550000,225100
2015-01-26,0.560000,0.560000,0.490000,0.520000,0.520000,276300
2015-02-02,0.500000,0.720000,0.480000,0.520000,0.520000,2443900
2015-02-09,0.520000,0.560000,0.500000,0.560000,0.560000,231800
2015-02-16,0.560000,0.620000,0.540000,0.600000,0.600000,430100
2015-02-23,0.600000,0.630000,0.550000,0.600000,0.600000,256600
2015-03-02,0.650000,0.700000,0.590000,0.690000,0.690000,440100
2015-03-09,0.690000,0.740000,0.680000,0.710000,0.710000,621500
2015-03-16,0.730000,0.730000,0.640000,0.650000,0.650000,388600
2015-03-23,0.610000,0.670000,0.600000,0.620000,0.620000,196500
2015-03-30,0.600000,0.630000,0.600000,0.630000,0.630000,161100
2015-04-06,0.620000,0.640000,0.610000,0.610000,0.610000,154600
2015-04-13,0.580000,0.660000,0.580000,0.660000,0.660000,428800
2015-04-20,0.660000,0.660000,0.520000,0.550000,0.550000,625900
2015-04-27,0.540000,0.600000,0.540000,0.570000,0.570000,257900
2015-05-04,0.570000,0.600000,0.540000,0.550000,0.550000,241000
2015-05-11,0.550000,0.610000,0.540000,0.560000,0.560000,236900
2015-05-18,0.560000,0.640000,0.560000,0.610000,0.610000,313500
2015-05-25,0.620000,0.640000,0.550000,0.620000,0.620000,473300
2015-06-01,0.620000,0.650000,0.550000,0.580000,0.580000,660500
2015-06-08,0.570000,0.620000,0.550000,0.560000,0.560000,190800
2015-06-15,0.560000,0.560000,0.520000,0.520000,0.520000,193300
2015-06-22,0.530000,0.550000,0.480000,0.540000,0.540000,438800
2015-06-29,0.520000,0.550000,0.480000,0.490000,0.490000,244600
